rating,no_of_reviews,company_name,district_location,phone_no,website,working_hour,establishment_year,no_of_employess,company_manager
0.0,,Aryan Mobile Gallery,Pokhara,061533553,http://www.aryanmobile.com.np,Tuesday: 08:00 - 08:00,2008, 1-5,Sanjay sharma
5.0,1,THAKUR INTERNATIONAL AND INVESTMENT Pvt. Ltd,Kathmandu,+977-1-4720270,http://thakurintl.com/,Tuesday: 00:00-24:00,2013, 101-200,Mr Ashok Kumar Thakur
5.0,1,OM Networks Pvt Ltd,Kathmandu,01-4435018,http://www.omnetworks.com.np,Tuesday: 10:00 am - 6:00 pm,2012, 6-10,Not Specified
5.0,1,Connepsys PVT LTD,Kathmandu,4425866,http://www.connepsys.com,Tuesday: 10:00am-5:30pm,2014, 6-10,Prasanna Khatri
5.0,1,Mac Support Pvt.Ltd,Kathmandu,9808612382,https://connect.instavc.com/,Tuesday: 10:00AM-10:00PM,2018, 11-15,Shrisha Pandey
4.0,1,Real Time Solutions Pvt. Ltd,Kathmandu,5538687,http://www.rts.com.np,Monday: 9:30 am to 5:30 pm,2003, 26-50,Mr. Ashish Manandhar
5.0,1,New A to Z Computer & Language Centre,Janakpur,041-527859,http://www.newatoz.edu.np,Wednesday: 6:00 AM,2002, 1-5,Pawan Panjiyar
5.0,1,Zen IT Hub Pvt. Ltd.,Kathmandu,+977-1-5521533,http://zenithub.com,Tuesday: 10:00 am - 5:00 pm,2013, 11-15,Dhananjay Kumar Karn
5.0,2,Hamro Store (p) Ltd.,Kathmandu,01-5230407,http://www.hamrostore.com,Not Specifieed,2014, 51-100,Keshab Ghimire
5.0,2,FM Adhyatma Jyoti 104.8 Mhz,Kathmandu,00977-1-4425401,,Not Specifieed,Not Specified,Not Specified,Not Specified
5.0,2,Upaya: City Cargo,Kathmandu,+977 988-1098830,https://citycargo.upaya.com.np,Tuesday: 10:00 a.m. - 6:00 p.m,2018, 11-15,Amigo Khadka
5.0,2,All Store,Dharan,9811303760,http://www.allstoree.com,Tuesday: open 24 hours,2019, 1-5,Not Specified
5.0,3,CompuTeX IT Solution,Pokhara,9818320706,http://computexnp.business.site/,Tuesday: 8:00 am - 6:00 pm,2009, 1-5,Sajan Gurung
5.0,3,"Thakur International for Call Centre, BPO Services",Kathmandu,0097714720270,http://www.thakurintl.com,Not Specifieed,2013, 101-200,Dr. Jay Krishna Thakur
5.0,3,Decade International P Ltd,Kathmandu,014383043,http://decadeint.com,Not Specifieed,2003, 16-25,Bishnu Dhakal
5.0,3,Webpal Private Limited,Kathmandu,9864900900,https://webpal.com.np,Tuesday: 10:00 am - 5:00 pm,2018, 6-10,Pravin
0.0,,BRiGHT Office Systams Pvt.Ltd,Butwal,071551318,http://www.brightit.com.np,Tuesday: 10an to 6 pm,2010, 6-10,laxman Gautam
0.0,,Janta Cable Industries (P) Ltd.,Kathmandu,00977-1-4222147,http://www.jantacableinds.com,Tuesday: 10:00 am - 6:00 pm,1977,Not Specified,Not Specified
0.0,,Hi-Speed Computer ,Lumbini,079 521170,https://www.facebook.com/hispeedcomputer,Not Specifieed,2011, 1-5,Krishna Khanal
0.0,,Bihani Tech Pvt. Ltd.,Bharatpur,977-56-571259,http://bihanitech.com,Tuesday: 10:00 am - 6:00 pm,2017, 11-15,Hom Nath Bagale
0.0,,BRiGHT Office Systems Pvt.Ltd.,Butwal,071551318,http://www.brightit.com.np,Tuesday: 10:00 - 6:00,2010, 16-25,Laxman Gautam
0.0,,FiberTel FiberNet pvt Ltd,Tikapur,091-540305,http://fibertelfibernet.com.np/,Tuesday: 9:00 am-6:00pm,2017, 6-10,Arjun Prasad Bajgai
0.0,,Hostinzer Nepal,Kathmandu,+977-1-4335066,https://hostinzernepal.com,Tuesday: 7:00 am - 5:00 pm,2017, 6-10,Not Specified
5.0,1,Sky Net Computer,Chandranigahpur,9866047122,http://www.skynetcomputershop.wordpress.com,Tuesday: 9:00am - 6:00 am,2016, 1-5,Not Specified
5.0,1,Hello Mobile Care,Pokhara,061-526852,http://www.hellomobilecare.com,Tuesday: 10:00 am -7:00 pm,Not Specified,Not Specified,Not Specified
0.0,,FirstLink Pvt. Ltd.,Kathmandu,+977 01 4439687,http://firstlink.com.np,Tuesday: 9:30 am - 5:30 pm,2014, 11-15,Not Specified
0.0,,BIG COMPUTER INSTITUTE,Damauli,065-562580,http://www.bigcomputerinstitute.com,Tuesday: 6:00am-6:00PM,2012, 1-5,BIKAL SHRESTHA
0.0,,Singh Solutions P. Ltd.,Kathmandu,01-4231572,http://www.groupsingh.com,Tuesday: 10:00 am - 6:00 pm,2007, 6-10,Bikram Singh
0.0,,HerChaha,Kathmandu,9880775724,http://www.herchaha.com.np,Tuesday: 09:00 am - 6:00 pm,2019, 11-15,Rajeev Chaudhary
4.0,4,Websoft Nepal (P) Ltd,Bharatpur,+977-56-527600,http://www.websoftnepal.com,Tuesday: 24 hour,2012, 11-15,Manoj Mahato
